9250749006511450845216616038487555589179237539058145948830187658304606533 84508966574692958848206760026713633994508657983867782525903152068603880331419528
5589179237539058145948830187658304606533 8657983867782525903152068603880331419528
48830187658304606533 52068603880331419528
8304606533 331419528
6533 19528
533 528
33 28
3 8
3 2
6 10
5 5
38 33
8 3
3 3
11 6
6 19
539 547
39 47
9 7
3 4
12 11
2 1
1 1
3 2
5 5
44 52
4 2
4 5
8 7
83046 3314
46 314
46 14
6 4
4 1
10 5
0 3
46 17
6 7
4 1
10 8
83 3
129 317
29 17
9 7
2 1
11 8
1 3
30 20
0 0
3 2
3 2
89579 22842
579 842
79 42
9 2
7 4
16 6
5 8
84 50
4 0
8 5
12 5
89 22
9 2
8 2
17 4
668 864
68 64
8 4
6 6
14 10
4 0
1 1
5 1
6 8
74 72
4 2
7 7
11 9
4883018765 5206860388
18765 60388
765 388
65 88
5 8
6 8
11 16
1 6
1 1
2 7
7 3
72 91
2 1
7 9
9 10
18 60
8 0
1 6
9 6
783 448
83 48
3 8
8 4
11 12
1 2
1 1
2 3
7 4
90 52
0 2
9 5
9 7
48830 52068
830 68
30 68
0 8
3 6
3 14
8 0
38 68
8 8
3 6
11 14
1 4
1 1
2 5
48 52
8 2
4 5
12 7
878 120
78 20
8 0
7 2
15 2
8 1
86 21
6 1
8 2
14 3
67595 112456
595 456
95 56
5 6
9 5
14 11
4 1
1 1
5 2
5 4
100 60
0 60
1 0
1 60
67 112
67 12
7 2
6 1
13 3
0 1
67 13
7 3
6 1
13 4
662 568
62 68
2 8
6 6
8 14
6 5
68 73
8 3
6 7
14 10
4 0
1 1
5 1
13187625298 5538279916
625298 279916
298 916
98 16
8 6
9 1
17 7
2 9
100 25
0 25
1 0
1 25
625 279
25 79
5 9
2 7
7 16
6 2
31 81
1 1
3 8
4 9
923 1195
23 95
3 5
2 9
5 14
9 11
32 106
32 6
0 1
32 7
13187 5538
187 538
87 38
7 8
8 3
15 11
5 1
1 1
6 2
1 5
88 43
8 3
8 4
16 7
13 5
200 543
0 43
2 5
2 48
638485 285454
485 454
85 54
5 4
8 5
13 9
4 4
89 58
9 8
8 5
17 13
7 3
1 1
8 4
638 285
38 85
8 5
3 8
11 13
1 3
1 1
2 4
6 2
44 87
4 7
4 8
8 15
1123 739
23 39
3 9
2 3
5 12
11 7
34 46
4 6
3 4
7 10
55891792375390581459 86579838677825259031
5390581459 7825259031
81459 59031
459 31
59 31
9 1
5 3
14 4
4 0
63 31
3 1
6 3
9 4
81 59
1 9
8 5
9 14
540 90
40 90
0 0
4 9
4 9
5 0
45 90
5 0
4 9
9 9
53905 78252
905 252
5 52
9 2
14 54
4 4
1 5
5 9
53 78
3 8
5 7
8 15
958 330
58 30
8 0
5 3
13 3
9 3
67 33
7 3
6 3
13 6
135364 137283
364 283
64 83
4 3
6 8
10 11
0 1
1 1
1 2
3 2
67 85
7 5
6 8
13 13
3 3
1 1
4 4
135 137
35 37
5 7
3 3
8 10
1 1
36 38
6 8
3 3
9 11
499 420
99 20
9 0
9 2
18 2
4 4
103 24
3 24
1 0
4 24
5589179237 8657983867
79237 83867
237 867
37 67
7 7
3 6
10 13
0 3
1 1
1 4
2 8
39 75
9 5
3 7
12 12
2 2
1 1
3 3
79 83
9 3
7 8
16 11
6 1
1 1
7 2
316 950
16 50
6 0
1 5
7 5
3 9
19 59
9 9
1 5
10 14
0 4
1 1
1 5
55891 86579
891 579
91 79
1 9
9 7
10 16
0 6
1 1
1 7
8 5
99 84
9 4
9 8
18 12
8 2
1 1
9 3
55 86
5 6
5 8
10 14
0 4
1 1
1 5
946 665
46 65
6 5
4 6
10 11
0 1
1 1
1 2
9 6
55 71
5 1
5 7
10 8
135128 170446
128 446
28 46
8 6
2 4
10 10
0 0
1 1
1 1
1 4
29 50
9 0
2 5
11 5
135 170
35 70
5 0
3 7
8 7
1 1
36 71
6 1
3 7
9 8
263 616
63 16
3 6
6 1
9 7
2 6
65 22
5 2
6 2
11 4
10979760696 16483242898
760696 242898
696 898
96 98
6 8
9 9
15 17
5 7
1 1
6 8
6 8
102 106
2 6
1 1
3 7
760 242
60 42
0 2
6 4
6 6
7 2
67 44
7 4
6 4
13 8
1456 1140
56 40
6 0
5 4
11 4
14 11
4 1
1 1
5 2
70 51
0 1
7 5
7 6
10979 16483
979 483
79 83
9 3
7 8
16 11
6 1
1 1
7 2
9 4
88 87
8 7
8 8
16 15
6 5
1 1
7 6
10 16
0 6
1 1
1 7
989 499
89 99
9 9
8 9
17 18
7 8
1 1
8 9
9 4
98 103
98 3
0 1
98 4
771675 259381
675 381
75 81
5 1
7 8
12 9
6 3
81 84
1 4
8 8
9 12
771 259
71 59
1 9
7 5
8 14
7 2
78 61
8 1
7 6
15 7
1446 640
46 40
6 0
4 4
10 4
14 6
60 46
0 6
6 4
6 10
104721980033695187992 138648442558156678559
33695187992 58156678559
187992 678559
992 559
92 59
2 9
9 5
11 14
1 4
1 1
2 5
9 5
101 64
1 64
1 0
2 64
187 678
87 78
7 8
8 7
15 15
5 5
1 1
6 6
1 6
88 84
8 4
8 8
16 12
6 2
1 1
7 3
1179 1237
79 37
9 7
7 3
16 10
6 0
1 1
7 1
11 12
1 2
1 1
2 3
90 49
0 9
9 4
9 13
33695 58156
695 156
95 56
5 6
9 5
14 11
4 1
1 1
5 2
6 1
101 57
1 57
1 0
2 57
33 58
3 8
3 5
6 13
728 214
28 14
8 4
2 1
10 5
7 2
35 16
5 6
3 1
8 7
221687 736715
687 715
87 15
7 5
8 1
15 6
6 7
